City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,12.36,93,100,0.89,US,1746363667
1,kondopoga,62.2057,34.2614,9.32,38,99,4.43,RU,1746363866
2,margaret river,-33.95,115.0667,17.85,66,99,4.67,AU,1746363868
3,slave lake,55.2834,-114.769,8.99,37,100,6.69,CA,1746363869
4,as sulayyil,20.4607,45.5779,39.8,6,100,5.09,SA,1746363870
5,yellowknife,62.456,-114.3525,-0.33,92,75,2.57,CA,1746363871
6,taoudenni,22.6783,-3.9836,38.69,13,8,3.2,ML,1746363872
7,portland,45.5234,-122.6762,5.59,91,10,0.89,US,1746363654
8,bad bentheim,52.3167,7.1667,12.51,58,100,1.79,DE,1746363875
9,neryungri,56.6709,124.6491,-4.12,93,86,3.04,RU,1746363876
10,aligudarz,33.4006,49.6949,22.41,30,81,7.21,IR,1746363878
11,chibougamau,49.9168,-74.3659,3.79,70,0,6.17,CA,1746363879
12,wailua homesteads,22.0669,-159.378,23.44,84,40,6.17,US,1746363880
13,touros,-5.1989,-35.4608,30.36,60,12,5.84,BR,1746363882
14,nuku'alofa,-21.1333,-175.2,24.19,83,75,3.6,TO,1746363638
15,carnarvon,-24.8667,113.6333,22.38,71,100,8.37,AU,1746363884
16,nikolayevsk-on-amure,53.1406,140.73,0.5,95,100,2.77,RU,1746363885
17,cromer,52.9312,1.2989,12.05,50,100,4.02,GB,1746363886
18,iqaluit,63.7506,-68.5145,-5.15,79,100,1.03,CA,1746363677
19,badger,64.8,-147.5333,-0.05,90,0,0.0,US,1746363888
20,plettenberg bay,-34.0527,23.3716,19.77,48,2,1.88,ZA,1746363889
21,susuman,62.7833,148.1667,-4.6,95,100,1.59,RU,1746363892
22,grytviken,-54.2811,-36.5092,3.76,51,0,1.37,GS,1746363893
23,port-aux-francais,-49.35,70.2167,4.21,75,100,8.04,TF,1746363638
24,ribeira grande,38.5167,-28.7,18.22,68,20,6.17,PT,1746363895
25,seka,17.9285,103.9552,31.53,57,3,2.58,TH,1746363898
26,waitangi,-43.9535,-176.5597,11.36,67,100,11.33,NZ,1746363900
27,adamstown,-25.066,-130.1015,23.78,80,67,4.84,PN,1746363901
28,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,87,100,3.0,RU,1746363902
29,barcelos,41.5388,-8.6151,14.05,87,100,2.39,PT,1746363904
30,puerto ayora,-0.7393,-90.3518,24.75,97,96,1.65,EC,1746363798
31,lazaro cardenas,17.9583,-102.2,25.3,74,100,2.17,MX,1746363906
32,isafjordur,66.0755,-23.124,11.02,54,20,7.2,IS,1746363907
33,bilibino,68.0546,166.4372,-18.9,87,4,2.46,RU,1746363908
34,invercargill,-46.4,168.35,7.79,92,65,2.24,NZ,1746363909
35,bethel,41.3712,-73.414,18.05,92,100,0.45,US,1746363910
36,ciudad del carmen,18.6333,-91.8333,28.02,74,0,5.14,MX,1746363911
37,metlili chaamba,32.2667,3.6333,31.52,23,40,9.26,DZ,1746363914
38,kavieng,-2.5744,150.7967,27.85,80,91,5.28,PG,1746363915
39,rio grande,-32.035,-52.0986,20.24,77,0,3.12,BR,1746363685
40,lebu,-37.6167,-73.65,9.57,87,12,4.72,CL,1746363917
41,ushuaia,-54.8,-68.3,5.81,70,75,9.77,AR,1746363918
42,marshfield,44.6689,-90.1718,11.36,79,6,1.45,US,1746363675
43,santa terezinha,-29.9002,-50.0904,20.77,68,0,3.78,BR,1746363920
44,burbach,50.75,8.0833,11.38,72,100,3.6,DE,1746363922
45,crane,31.3974,-102.3501,14.13,52,4,7.71,US,1746363924
46,cabo san lucas,22.8909,-109.9124,18.75,60,0,6.69,MX,1746363675
47,stanley,54.868,-1.6985,9.17,64,75,8.23,GB,1746363740
48,punta arenas,-53.15,-70.9167,4.06,87,40,7.72,CL,1746363680
49,puerto natales,-51.7236,-72.4875,4.25,70,75,2.57,CL,1746363928
50,codrington,-38.2667,141.9667,18.24,40,100,8.31,AU,1746363930
